"SEQN","PEPTECH"
3,3002
4,3002
7,88888
9,3002
10,3002
11,3007
12,3002
13,3007
14,3007
16,3008
19,3002
20,3004
21,3008
23,3007
26,3008
27,3001
28,3007
30,88888
32,88888
33,3004
34,3004
35,3002
36,3001
37,3007
38,3007
39,3004
40,3007
41,3004
42,3002
43,88888
44,NA
45,NA
46,3002
47,3008
48,3008
49,3001
50,3002
51,3002
52,3007
53,88888
54,3002
55,3002
56,3007
57,3007
58,NA
59,3001
60,3002
61,3002
62,3004
63,3008
64,3004
65,3007
67,NA
69,3007
70,3002
71,3002
72,3007
73,3008
74,3001
75,3002
76,3002
78,3004
79,3004
80,3008
82,3002
83,3005
84,3004
85,3004
86,3002
89,3002
90,3008
91,3004
92,88888
93,3001
94,3004
95,3007
96,3007
97,3004
98,3002
99,3007
100,88888
101,3002
102,NA
103,3002
104,3001
105,3008
106,3001
107,3002
108,3008
109,3004
110,3007
111,NA
112,3007
113,3004
114,NA
115,88888
116,3007
117,3008
118,3002
119,3002
120,3001
121,3006
122,3001
123,3002
124,3008
125,3001
126,3007
127,3002
128,3002
129,3002
130,3007
132,3007
133,3002
134,NA
135,3008
137,3004
138,3004
139,3004
140,3001
141,88888
142,NA
143,3004
144,3008
145,3008
146,3009
147,3004
149,3002
151,3008
153,NA
154,3008
155,3004
156,3007
157,3007
158,3004
159,3005
160,3002
161,3002
162,NA
164,3009
165,3002
166,3008
168,3001
169,3001
170,3004
171,3007
174,NA
175,NA
176,3002
177,3002
178,3002
179,3008
180,3001
181,3008
183,3002
184,3008
185,3004
186,3007
188,3002
190,3004
195,88888
198,3002
203,3002
204,3008
205,3002
206,88888
208,NA
209,3008
210,3004
211,3007
212,NA
213,3002
214,3004
215,3002
216,3009
217,3008
218,3002
219,3008
220,3001
221,3004
226,3002
228,3007
230,3004
231,3001
232,3004
233,NA
235,3008
236,NA
238,88888
240,3007
241,3007
242,3002
243,NA
249,3002
250,3008
251,3001
252,3008
253,3002
254,3008
255,3004
257,3002
258,3002
259,3002
260,3007
261,88888
262,3007
263,3008
264,NA
265,3002
266,3002
267,3001
268,3008
270,3004
272,3002
273,3004
274,3004
275,3004
276,3002
277,3008
278,3009
279,NA
280,3004
282,3008
284,3001
285,3007
286,3007
287,3002
288,3004
289,3008
290,3009
291,NA
293,NA
294,3002
295,3008
297,3007
298,3001
299,3004
300,3007
301,3007
302,88888
303,3004
304,3002
305,3001
307,3008
308,3002
309,3008
311,NA
312,3002
313,3002
314,3001
315,3007
316,3002
317,3007
319,3007
321,3007
323,3002
324,3002
325,3001
326,3004
327,3004
328,NA
329,3002
331,3007
332,3007
333,3007
334,3002
335,88888
336,3008
337,3001
338,3005
339,3002
340,3001
341,3004
343,3004
344,3007
345,3005
346,3002
347,3004
348,3004
349,3002
350,3008
351,3009
352,3002
353,3008
355,3001
356,3001
357,3004
358,3007
359,3007
360,3004
361,3002
362,NA
363,3002
